participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,english_first_language,country_of_birth
614e2cd1989a33f47e767420,dopo,4,PO_plausible,0,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,21,filler,1,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,act-pass2,8,passive_v1,2,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,41,filler,3,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,31,filler,4,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,43,filler,5,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,14,filler,6,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,10,filler,7,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,dopo,19,DO_plausible,8,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,1,filler,9,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
